Fish Name,Type,Collection,Stat 1,Stat 2,Stat 3,Bait
Lemon Fish,Small,Light and Moon,Mage HP,DEF,-,-
Greenlight Fish,Small,Light and Moon,Mage HP,DEF,-,-
Moonlight Fish,Small,Light and Moon,Mage ATK,DEF,-,-
Mutated Dragonfish,Large,Draco Fury,ATK,Support HP,Reflect DMG,Mudskipper
Mullet Fish,Large,Dazzeling Colors,Support ATK,ATK,-,-
Little Goldfish,Small,Dazzeling Colors,Mage HP,-,-,-
Runescale Koi,Large,Dazzeling Colors,ATK,Support HP,Healing Effect,-
Longbill Loach,Small,Childhood Memory,Mage ATK,-,-,-
Frog,Aquatic,Childhood Memory,Warrior ATK,-,-,-
Winter Squid,Aquatic,Age of Ice,Warrior ATK,DMG Increase,-,-
Ice River Carp,Medium,Age of Ice,Marksman ATK,HP,-,-
Plateau Fugu,Medium,Age of Ice,Marksman HP,HP,-,-
Watermelon Fish,Small,Drool,Mage ATK,DEF,-,-
Mickey Mouse Platy,Small,Drool,Mage ATK,DEF,-,-
Spear Fish,Large,Three Swordsman,Support ATK,ATK,Knockback Effect,Locust Bait
Bite Bluefish,Medium,Three Swordsman,Marksman ATK,HP,-,-
Sea Urchin,Aquatic,Three Swordsman,Warrior HP,-,-,-
Grey Lobster,Aquatic,Shrimpy and Craby,Warrior HP,DMG Reduction,-,-
Snow Crab,Aquatic,Shrimpy and Craby,Warrior ATK,DMG Increase,-,-
Silverhead Salmon,Medium,Silverlight Fish,Marksman ATK,-,-,-
Silver Fin Fish,Medium,Silverlight Fish,Marksman HP,-,-,-
