Fish Name,Type,Collection,Stat 1,Stat 2,Stat 3,Bait
Ocean Sunfish,Large,Diverse Colors,Support ATK,ATK,Physical DMG Boost,-
Icy Scale Bluefish,Small,Diverse Colors,Mage ATK,DEF,-,-
Rainbowfin Fish,Medium,Diverse Colors,Marksman HP,HP,-,-
Sunblaze Fish,Medium,Light and Shadow,Marksman ATK,HP,-,-
Night Scale Snapper,Medium,Light and Shadow,Marksman HP,HP,-,-
Giant Mouth Shark,Large,Abyssal Mouth,Support ATK,ATK,Crit DMG,Mudskipper
Mouthed Salmon,Medium,Abyssal Mouth,Marksman ATK,HP,-,-
Hammerhead Shark,Large,Abyssal Mouth,ATK,Support HP,Magic DMG Boost,-
Amber Seahorse,Aquatic,Energetic Spirit,Warrior HP,DMG Reduction,-,-
Lobster,Aquatic,Energetic Spirit,Warrior ATK,DMG Increase,-,-
Nautilus,Aquatic,Energetic Spirit,Warrior ATK,DMG Increase,-,-
Figru Mudfish,Small,World of Monsters,Mage HP,DEF,-,-
Sayid Fish,Small,World of Monsters,Mage HP,DEF,-,-
Giant Squid,Aquatic,Thief's Head,Warrior HP,DMG Reduction,Melee DMG Boost,Seaweed Bait
Giant China Turtle,Aquatic,Thief's Head,Warrior HP,DMG Reduction,-,-
White Perch,Medium,White Wipe,Marksman HP,HP,Lifesteal,Pupa Bait
